DataSet,"#TrainingRelease",%training,%Defective training,%Defective testing,Classifier,Balancing,Feature Selection,TP,FP,TN,FN,Precision,Recall,AUC,Kappa
ZOOKEEPER,6,31.58,12.51,10.20,Naive Bayes,Oversampling,No selection,8.0,19.0,254.0,23.0,0.2962962962962963,0.25806451612903225,0.8625782819331207,0.19989973680912393
ZOOKEEPER,6,31.58,12.51,10.20,Naive Bayes,Oversampling,Best First,13.0,31.0,242.0,18.0,0.29545454545454547,0.41935483870967744,0.6986884083658277,0.2578716620167395
ZOOKEEPER,6,31.58,12.51,10.20,Naive Bayes,Undersampling,No selection,9.0,16.0,257.0,22.0,0.36,0.2903225806451613,0.8193902871322226,0.25345741243375985
ZOOKEEPER,6,31.58,12.51,10.20,Naive Bayes,Undersampling,Best First,12.0,28.0,245.0,19.0,0.3,0.3870967741935484,0.7246248375280633,0.25209380234505885
ZOOKEEPER,6,31.58,12.51,10.20,Naive Bayes,Smote,No selection,10.0,17.0,256.0,21.0,0.37037037037037035,0.3225806451612903,0.8486352357320099,0.27609976187492186
ZOOKEEPER,6,31.58,12.51,10.20,Naive Bayes,Smote,Best First,12.0,26.0,247.0,19.0,0.3157894736842105,0.3870967741935484,0.7142857142857143,0.2653061224489795
ZOOKEEPER,6,31.58,12.51,10.20,IBk,No sampling,No selection,27.0,23.0,250.0,4.0,0.54,0.8709677419354839,0.8933593288431998,0.6186582419624607
ZOOKEEPER,6,31.58,12.51,10.20,IBk,No sampling,Best First,14.0,13.0,260.0,17.0,0.5185185185185185,0.45161290322580644,0.8202174169916105,0.4284998120065171
ZOOKEEPER,6,31.58,12.51,10.20,IBk,Oversampling,No selection,28.0,36.0,237.0,3.0,0.4375,0.9032258064516129,0.8922367954626019,0.5240847784200385
ZOOKEEPER,6,31.58,12.51,10.20,IBk,Oversampling,Best First,21.0,50.0,223.0,10.0,0.29577464788732394,0.6774193548387096,0.8299066524872977,0.31444035180034596
ZOOKEEPER,6,31.58,12.51,10.20,IBk,Undersampling,No selection,30.0,100.0,173.0,1.0,0.23076923076923078,0.967741935483871,0.8006026231832684,0.2489971627042363
ZOOKEEPER,6,31.58,12.51,10.20,IBk,Undersampling,Best First,20.0,82.0,191.0,11.0,0.19607843137254902,0.6451612903225806,0.7423490488006617,0.17110355341855277
ZOOKEEPER,6,31.58,12.51,10.20,IBk,Smote,No selection,27.0,23.0,250.0,4.0,0.54,0.8709677419354839,0.8933593288431998,0.6186582419624607
ZOOKEEPER,6,31.58,12.51,10.20,IBk,Smote,Best First,15.0,15.0,258.0,16.0,0.5,0.4838709677419355,0.8175587853007208,0.4351474466554782
ZOOKEEPER,7,36.84,12.10,8.36,Random Forest,No sampling,No selection,8.0,18.0,300.0,21.0,0.3076923076923077,0.27586206896551724,0.7220776404250705,0.23007339136371419
ZOOKEEPER,7,36.84,12.10,8.36,Random Forest,No sampling,Best First,6.0,25.0,293.0,23.0,0.1935483870967742,0.20689655172413793,0.6949143352851876,0.12438229418567953
ZOOKEEPER,7,36.84,12.10,8.36,Random Forest,Oversampling,No selection,11.0,48.0,270.0,18.0,0.1864406779661017,0.3793103448275862,0.6976794621557146,0.15534410267758358
ZOOKEEPER,7,36.84,12.10,8.36,Random Forest,Oversampling,Best First,12.0,53.0,265.0,17.0,0.18461538461538463,0.41379310344827586,0.6815766644979397,0.1580005546311705
ZOOKEEPER,7,36.84,12.10,8.36,Random Forest,Undersampling,No selection,17.0,98.0,220.0,12.0,0.14782608695652175,0.5862068965517241,0.7468553459119497,0.11843503164118445
ZOOKEEPER,7,36.84,12.10,8.36,Random Forest,Undersampling,Best First,20.0,105.0,213.0,9.0,0.16,0.6896551724137931,0.7391563652136196,0.1435437776045727
ZOOKEEPER,7,36.84,12.10,8.36,Random Forest,Smote,No selection,9.0,23.0,295.0,20.0,0.28125,0.3103448275862069,0.7098243331164606,0.22733157267878462
ZOOKEEPER,7,36.84,12.10,8.36,Random Forest,Smote,Best First,6.0,25.0,293.0,23.0,0.1935483870967742,0.20689655172413793,0.6835827369334201,0.12438229418567953
ZOOKEEPER,7,36.84,12.10,8.36,Naive Bayes,No sampling,No selection,9.0,22.0,296.0,20.0,0.2903225806451613,0.3103448275862069,0.7091194968553459,0.23383450741246942
